Splits	Weights	GRASSLEY_C_Rep	LEAHY_P_Dem	MARKEY_E_Dem	HATCH_O_Rep	NELSON_C_Dem	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	McCONNELL_A_Rep	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	INHOFE_J_Rep	FLAKE_J_Rep	BOOZMAN_J_Rep	CAPITO_S_Rep	VAN_HOLLEN_C_Dem	MURPHY_C_Dem	HIRONO_M_Dem	DONNELLY_J_Dem	HELLER_D_Rep	GILLIBRAND_K_Dem	CASSIDY_B_Rep	PETERS_G_Dem	HEINRICH_M_Dem	GARDNER_C_Rep	YOUNG_T_Rep	LANKFORD_J_Rep	SCOTT_T_Rep	COTTON_T_Rep	DUCKWORTH_T_Dem	DAINES_S_Rep	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	WICKER_R_Rep	BURR_R_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	ISAKSON_J_Rep	UDALL_T_Dem	TOOMEY_P_Rep	BALDWIN_T_Dem	CANTWELL_M_Dem	MURKOWSKI_L_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	BARRASSO_J_Rep	RISCH_J_Rep	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	FISCHER_D_Rep	HEITKAMP_M_Dem	CRUZ_R_Rep	KAINE_T_Dem	BOOKER_C_Dem	SULLIVAN_D_Rep	PERDUE_D_Rep	ERNST_J_Rep	SASSE_B_Rep	TILLIS_T_Rep	ROUNDS_M_Rep	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	KENNEDY_J_Rep	FEINSTEIN_D_Dem	MURRAY_P_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep
14	.110251	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
15	1.356827	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
16	3.902232	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
17	.488286	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
18	1.484439	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
19	.443897	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1
20	.132109	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1
21	.540218	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
22	1.373846	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	16.522449	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24	30.145201	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	.807494	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
26	.658391	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
27	14.049006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	.241448	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
29	2.797279	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
30	5.316995	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
31	136.013794	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
32	14.13822	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
33	12.320189	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
34	2.153225	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1
35	.679486	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1
36	1.322576	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1
37	12.968123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38	.864528	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1
39	2.941474	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
40	1.847757	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
41	25.465166	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
42	.884469	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
43	1.25484	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
44	15.575696	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	.308927	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1
46	1.284651	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
47	25.700544	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
48	2.142838	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
49	17.964272	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	.18554	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1
51	1.863656	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
52	1.707974	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
53	1.300459	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
54	7.706967	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
55	3.477602	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1
56	1.101402	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
57	.060253	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1
58	16.575703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
