Splits	Weights	INOUYE_D_Dem	COCHRAN_W_Rep	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	NELSON_C_Dem	SNOWE_O_Rep	LEVIN_C_Dem	DORGAN_B_Dem	GREGG_J_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	BUNNING_J_Rep	CARDIN_B_Dem	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	BOND_C_Rep	CONRAD_K_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	REED_J_Dem	SANDERS_B_Ind	LINCOLN_B_Dem	CRAPO_M_Rep	MENENDEZ_R_Dem	BROWN_S_Dem	CHAMBLISS_S_Rep	BROWNBACK_S_Rep	WICKER_R_Rep	ENSIGN_J_Rep	BURR_R_Rep	COBURN_T_Rep	GRAHAM_L_Rep	STABENOW_D_Dem	THUNE_J_Rep	UDALL_M_Dem	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	DeMINT_J_Rep	CANTWELL_M_Dem	NELSON_E_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	WEBB_J_Dem	BARRASSO_J_Rep	BEGICH_M_Dem	RISCH_J_Rep	JOHANNS_M_Rep	SHAHEEN_J_Dem	HAGAN_K_Dem	MERKLEY_J_Dem	WARNER_M_Dem	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	BENNETT_R_Rep	MURRAY_P_Dem	FEINGOLD_R_Dem	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	ENZI_M_Rep	BAYH_E_Dem	VOINOVICH_G_Rep	SHELBY_R_Rep	OBAMA_B_Dem
56	4.671268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
57	14.915978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
58	.529534	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
59	.095306	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
60	16.41572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61	19.981422	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
62	2.259371	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
63	2.283865	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
64	17.159981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
65	.079346	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1
66	1.944805	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1
67	.009346	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
68	.883253	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
69	1.090342	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
70	22.001335	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
71	1.167377	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
72	.479394	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1
73	6.880372	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
74	.164488	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
75	.006446	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
76	.009799	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
77	.081364	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
78	18.259184	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
79	.654672	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1
80	2.381155	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1
81	.514483	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
82	1.575634	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
83	2.112441	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
84	18.723804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
85	4.045506	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1
86	3.827109	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
87	1.409222	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
88	44.615379	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
89	1.157881	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1
90	1.819144	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	1
91	6.156481	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	1
92	5.721727	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1
93	4.297416	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1
94	4.693604	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1
95	17.569492	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
96	4.234933	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0
97	.503427	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
98	38.818893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
99	4.611392	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
100	34.471252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
101	10.040475	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1
102	26.89921	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1
103	13.32143	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
104	1.367493	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
105	2.399899	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
106	1.552725	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
107	6.449058	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
108	26.108442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
109	3.973537	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1
110	20.121403	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1
111	4.060547	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0
112	3.486259	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0
113	2.324311	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0
114	1.527393	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0
115	1.176199	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0
116	35.909012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
117	1.670846	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1
118	30.585688	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1
119	15.531755	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	1
120	54.379814	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0
121	1.658126	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0
122	39.490223	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
