Splits	Weights	COCHRAN_W_Rep	BAUCUS_M_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	AKAKA_D_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	LUGAR_R_Rep	NELSON_C_Dem	SNOWE_O_Rep	LEVIN_C_Dem	COATS_D_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	CARDIN_B_Dem	INHOFE_J_Rep	JOHNSON_T_Dem	KYL_J_Rep	CONRAD_K_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	BOOZMAN_J_Rep	KIRK_M_Rep	GILLIBRAND_K_Dem	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	CHAMBLISS_S_Rep	WICKER_R_Rep	BURR_R_Rep	COBURN_T_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	UDALL_M_Dem	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	TOOMEY_P_Rep	DeMINT_J_Rep	CANTWELL_M_Dem	NELSON_E_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	WEBB_J_Dem	BARRASSO_J_Rep	BEGICH_M_Dem	RISCH_J_Rep	FRANKEN_A_Dem	JOHANNS_M_Rep	SHAHEEN_J_Dem	HAGAN_K_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	BROWN_S_Rep	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	AYOTTE_K_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	FEINSTEIN_D_Dem	HUTCHISON_K_Rep	MURRAY_P_Dem	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep	OBAMA_B_Dem
11	3.500303	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0
12	2.507722	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
13	.039436	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
14	.081745	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
15	6.426734	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
16	.037227	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
17	5.8067	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
18	7.783052	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19	36.902008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
20	.261176	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
21	9.430712	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
22	27.138809	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0
23	1.822537	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
24	10.457286	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
25	12.526648	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
26	3.01951	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0
27	26.49719	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	.944711	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
29	10.37634	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
30	1.305169	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
31	10.219722	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
32	8.758559	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
33	.047945	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
34	4.108817	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
35	2.952122	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
36	2.765029	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
37	23.915291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
38	2.236689	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
39	4.219569	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
40	6.419981	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
41	.017803	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
42	.02298	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
43	3.490192	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
44	.014787	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1
45	20.266283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46	.035231	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
47	1.020303	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
48	.051471	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
49	.024442	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
50	.028472	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
51	1.344157	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
52	2.542228	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
53	.005216	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1
54	.545664	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
55	.058712	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
56	4.277465	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1
