Splits	Weights	LEAHY_P_Dem	MARKEY_E_Dem	SCHUMER_C_Dem	WYDEN_R_Dem	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	VAN_HOLLEN_C_Dem	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	PETERS_G_Dem	HEINRICH_M_Dem	SINEMA_K_Dem	DUCKWORTH_T_Dem	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	MENENDEZ_R_Dem	BROWN_S_Dem	STABENOW_D_Dem	UDALL_T_Dem	BALDWIN_T_Dem	CANTWELL_M_Dem	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	KAINE_T_Dem	BOOKER_C_Dem	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	JONES_G_Dem	SMITH_T_Dem	FEINSTEIN_D_Dem	MURRAY_P_Dem
26	.775104	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
27	.644098	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
28	1.870276	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
29	3.540781	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
30	1.143497	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
31	24.767612	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32	3.434858	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
33	.334353	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
34	2.575695	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
35	3.836359	1	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0
