Splits	Weights	BENTSEN_L_Dem	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	DOLE_R_Rep	ADAMS_B_Dem	PRYOR_D_Dem	KENNEDY_E_Dem	PELL_C_Dem	RIEGLE_D_Dem	ROTH_W_Rep	HATFIELD_M_Rep	HOLLINGS_E_Dem	CRANSTON_A_Dem	PACKWOOD_R_Rep	STEVENS_T_Rep	SARBANES_P_Dem	BREAUX_J_Dem	COCHRAN_W_Rep	COHEN_W_Rep	LOTT_C_Rep	SYMMS_S_Rep	METZENBAUM_H_Dem	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	JOHNSTON_J_Dem	NUNN_S_Dem	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	KASTEN_R_Rep	PRESSLER_L_Rep	SIMON_P_Dem	WIRTH_T_Dem	BUMPERS_D_Dem	FORD_W_Dem	GARN_E_Rep	GLENN_J_Dem	LEAHY_P_Dem	AKAKA_D_Dem	GORE_A_Dem	MIKULSKI_B_Dem	FOWLER_W_Dem	CHAFEE_J_Rep	DANFORTH_J_Rep	DeCONCINI_D_Dem	HATCH_O_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	SASSER_J_Dem	WALLOP_M_Rep	DASCHLE_T_Dem	GRAMM_W_Rep	SHELBY_R_Dem	BOREN_D_Dem	BRADLEY_W_Dem	DURENBERGER_D_Rep	EXON_J_Dem	HEFLIN_H_Dem	KASSEBAUM_N_Rep	LEVIN_C_Dem	SIMPSON_A_Rep	WARNER_J_Rep	MITCHELL_G_Dem	BROWN_G_Rep	COATS_D_Rep	CRAIG_L_Rep	DAMATO_A_Rep	DIXON_A_Dem	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	RUDMAN_W_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	SMITH_R_Rep	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	SANFORD__Dem	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	SEYMOUR_J_Rep	WELLSTONE_P_Dem	BUSH_G_Rep
11	.043984	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0
12	.408561	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	43.070278	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	15.733738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
15	5.616185	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
16	.481809	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
17	40.399071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18	1.184374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	31.697365	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	10.576542	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	6.689795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22	30.608562	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23	2.578209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24	39.890942	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	61.099865	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26	52.307499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27	53.128986	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	7.754754	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29	.044234	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
30	.055277	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
31	.075813	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
32	24.354607	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
33	.028941	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
34	.060724	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
35	.070305	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0
36	43.290409	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	1.612378	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
38	8.488859	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
39	2.580411	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
40	2.420543	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
41	1.345928	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
42	.963886	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0
43	57.555546	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44	.027473	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
45	.049364	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
46	1.718214	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
47	60.570614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
48	.77538	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
49	.12474	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
50	.589108	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
51	.034846	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
52	6.520667	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
53	54.515839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54	1.272674	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
55	.02526	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1
56	1.52882	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0
