Splits	Weights	BENTSEN_L_Dem	BURDICK_Q_Dem	BYRD_R_Dem	INOUYE_D_Dem	THURMOND_J_Rep	DOLE_R_Rep	ADAMS_B_Dem	PRYOR_D_Dem	KENNEDY_E_Dem	PELL_C_Dem	McCLURE_J_Rep	RIEGLE_D_Dem	ROTH_W_Rep	HATFIELD_M_Rep	HOLLINGS_E_Dem	CRANSTON_A_Dem	PACKWOOD_R_Rep	STEVENS_T_Rep	SARBANES_P_Dem	HEINZ_H_Rep	BREAUX_J_Dem	ARMSTRONG_W_Rep	COCHRAN_W_Rep	COHEN_W_Rep	LOTT_C_Rep	SYMMS_S_Rep	METZENBAUM_H_Dem	BIDEN_J_Dem	DOMENICI_P_Rep	HELMS_J_Rep	JOHNSTON_J_Dem	NUNN_S_Dem	BAUCUS_M_Dem	DODD_C_Dem	GRASSLEY_C_Rep	HARKIN_T_Dem	JEFFORDS_J_Rep	KASTEN_R_Rep	PRESSLER_L_Rep	SIMON_P_Dem	WIRTH_T_Dem	BUMPERS_D_Dem	FORD_W_Dem	GARN_E_Rep	GLENN_J_Dem	LEAHY_P_Dem	GORE_A_Dem	MIKULSKI_B_Dem	FOWLER_W_Dem	CHAFEE_J_Rep	DANFORTH_J_Rep	DeCONCINI_D_Dem	HATCH_O_Rep	LUGAR_R_Rep	MOYNIHAN_D_Dem	SASSER_J_Dem	WALLOP_M_Rep	DASCHLE_T_Dem	GRAMM_W_Rep	SHELBY_R_Dem	BOREN_D_Dem	BOSCHWITZ_R_Rep	BRADLEY_W_Dem	DURENBERGER_D_Rep	EXON_J_Dem	HEFLIN_H_Dem	HUMPHREY_G_Rep	KASSEBAUM_N_Rep	LEVIN_C_Dem	SIMPSON_A_Rep	WARNER_J_Rep	MITCHELL_G_Dem	COATS_D_Rep	DAMATO_A_Rep	DIXON_A_Dem	GORTON_T_Rep	MURKOWSKI_F_Rep	NICKLES_D_Rep	RUDMAN_W_Rep	SPECTER_A_Rep	BINGAMAN_J_Dem	LAUTENBERG_F_Dem	WILSON_P_Rep	KERRY_J_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	MACK_C_Rep	McCAIN_J_Rep	REID_H_Dem	BOND_C_Rep	CONRAD_K_Dem	GRAHAM_D_Dem	SANFORD__Dem	BRYAN_R_Dem	BURNS_C_Rep	KERREY_J_Dem	KOHL_H_Dem	LIEBERMAN_J_Dem	ROBB_C_Dem	BUSH_G_Rep
11	4.312773	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
12	4.595828	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
13	4.550035	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
14	20.11409	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	0
15	29.287186	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16	15.372076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17	1.993832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18	36.841408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19	3.701986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	46.942947	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21	.192125	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
22	3.253433	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
23	1.088274	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
24	.777248	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
25	7.962373	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
26	2.5593	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
27	59.172688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28	5.290859	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
29	5.63742	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
30	6.099929	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
31	1.81863	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
32	6.700165	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
33	45.472874	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34	15.059093	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	8.795301	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36	1.267658	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1
37	3.57091	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
38	4.051094	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
39	6.140695	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
40	2.942981	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1
41	63.703609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
42	2.39783	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
43	2.314841	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
44	40.692356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	15.81291	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
46	53.668415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
47	47.039623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
48	45.519176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
49	2.977742	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
50	1.693092	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
51	1.33112	1	1	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
52	36.380165	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
53	2.635954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54	1.567809	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
55	.684135	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
