Splits	Weights	COCHRAN_W_Rep	GRASSLEY_C_Rep	HARKIN_T_Dem	LEAHY_P_Dem	MIKULSKI_B_Dem	HATCH_O_Rep	NELSON_C_Dem	LEVIN_C_Dem	COATS_D_Rep	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	McCONNELL_A_Rep	ROCKEFELLER_J_Dem	BOXER_B_Dem	CARPER_T_Dem	DURBIN_R_Dem	McCAIN_J_Rep	REID_H_Dem	CARDIN_B_Dem	INHOFE_J_Rep	JOHNSON_T_Dem	FLAKE_J_Rep	BOOZMAN_J_Rep	KIRK_M_Rep	MURPHY_C_Dem	HIRONO_M_Dem	DONNELLY_J_Dem	HELLER_D_Rep	GILLIBRAND_K_Dem	HEINRICH_M_Dem	SCOTT_T_Rep	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	CHAMBLISS_S_Rep	WICKER_R_Rep	BURR_R_Rep	COBURN_T_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	UDALL_M_Dem	ISAKSON_J_Rep	VITTER_D_Rep	UDALL_T_Dem	TOOMEY_P_Rep	BALDWIN_T_Dem	CANTWELL_M_Dem	MURKOWSKI_L_Rep	PRYOR_M_Dem	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	McCASKILL_C_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	CORKER_R_Rep	BARRASSO_J_Rep	BEGICH_M_Dem	RISCH_J_Rep	FRANKEN_A_Dem	JOHANNS_M_Rep	SHAHEEN_J_Dem	HAGAN_K_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	AYOTTE_K_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	FISCHER_D_Rep	HEITKAMP_M_Dem	CRUZ_R_Rep	KAINE_T_Dem	FEINSTEIN_D_Dem	MURRAY_P_Dem	SESSIONS_J_Rep	LANDRIEU_M_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep	OBAMA_B_Dem
11	80.659958	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
12	14.661456	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
13	1.353085	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
14	.01392	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
15	6.1444	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
16	3.612729	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
17	3.526976	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
18	1.556791	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0
19	53.172215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
20	1.679522	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0
21	1.49931	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0
22	2.670067	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0
23	2.319165	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0
24	44.24733	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0
25	25.682478	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
26	.904383	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1
27	2.357712	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1
28	21.807016	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1
29	26.595833	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1
30	39.223965	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1
31	1.826886	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1
32	4.975941	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1
33	.273869	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1
34	16.270571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	4.446636	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1
36	7.606122	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1
37	1.159825	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
38	.621486	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
39	3.052818	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
40	23.059179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
41	.515004	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
42	.007703	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
43	.164886	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1
44	20.663187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	.003102	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
46	.007001	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
47	.390702	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
48	.012868	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
49	.008652	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
50	.361768	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1
51	14.835678	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
52	.851051	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
53	1.708767	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
54	.011825	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
55	.343851	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1
56	2.240345	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
57	.016975	1	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1
